case,miss,miss_rate,policy,size
case_3.txt,166,0.83,LFUCache,1
case_3.txt,118,0.59,LFUCache,2
case_3.txt,93,0.465,LFUCache,3
case_3.txt,79,0.395,LFUCache,4
case_3.txt,64,0.32,LFUCache,5
case_3.txt,55,0.275,LFUCache,6
case_3.txt,46,0.23,LFUCache,7
case_3.txt,43,0.215,LFUCache,8
case_3.txt,40,0.2,LFUCache,9
case_3.txt,40,0.2,LFUCache,10
case_3.txt,39,0.195,LFUCache,11
case_3.txt,39,0.195,LFUCache,12
case_3.txt,39,0.195,LFUCache,13
case_3.txt,39,0.195,LFUCache,14
case_3.txt,38,0.19,LFUCache,15
case_3.txt,38,0.19,LFUCache,16
case_3.txt,38,0.19,LFUCache,17
case_3.txt,38,0.19,LFUCache,18
case_3.txt,37,0.185,LFUCache,19
case_3.txt,36,0.18,LFUCache,20
case_3.txt,34,0.17,LFUCache,21
case_3.txt,34,0.17,LFUCache,22
case_3.txt,34,0.17,LFUCache,23
case_3.txt,33,0.165,LFUCache,24
case_3.txt,32,0.16,LFUCache,25
case_3.txt,26,0.13,LFUCache,26
case_3.txt,26,0.13,LFUCache,27
case_3.txt,26,0.13,LFUCache,28
case_3.txt,26,0.13,LFUCache,29
case_3.txt,26,0.13,LFUCache,30
case_3.txt,166,0.83,RRCache,1
case_3.txt,150,0.75,RRCache,2
case_3.txt,114,0.57,RRCache,3
case_3.txt,107,0.535,RRCache,4
case_3.txt,93,0.465,RRCache,5
case_3.txt,82,0.41,RRCache,6
case_3.txt,72,0.36,RRCache,7
case_3.txt,69,0.345,RRCache,8
case_3.txt,59,0.295,RRCache,9
case_3.txt,61,0.305,RRCache,10
case_3.txt,52,0.26,RRCache,11
case_3.txt,54,0.27,RRCache,12
case_3.txt,46,0.23,RRCache,13
case_3.txt,48,0.24,RRCache,14
case_3.txt,43,0.215,RRCache,15
case_3.txt,44,0.22,RRCache,16
case_3.txt,36,0.18,RRCache,17
case_3.txt,38,0.19,RRCache,18
case_3.txt,40,0.2,RRCache,19
case_3.txt,36,0.18,RRCache,20
case_3.txt,37,0.185,RRCache,21
case_3.txt,32,0.16,RRCache,22
case_3.txt,33,0.165,RRCache,23
case_3.txt,31,0.155,RRCache,24
case_3.txt,26,0.13,RRCache,25
case_3.txt,26,0.13,RRCache,26
case_3.txt,26,0.13,RRCache,27
case_3.txt,26,0.13,RRCache,28
case_3.txt,26,0.13,RRCache,29
case_3.txt,26,0.13,RRCache,30
